--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:16.435 I/SimpleVideoView(11612): surfaceCreated
12-15 11:03:16.435 I/SimpleVideoView(11612): surfaceChanged 480:421:4
12-15 11:03:29.037 I/libframegrabber(11612): frame display interval: 40 ms
12-15 11:03:29.037 I/SimpleVideoView(11612): 0:75:2.6666667:480:256
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.067 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.077 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.087 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.087 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.087 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.087 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.187 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.187 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:29.197 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.197 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.197 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.197 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.197 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.338 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:29.338 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:29.338 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:29.338 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.338 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:29.358 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.358 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.358 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.458 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.458 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.458 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.458 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.488 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:29.488 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:29.488 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:29.488 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:29.638 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:29.648 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:29.658 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:29.668 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.668 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:29.678 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.678 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.678 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.808 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:29.808 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:29.808 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:29.828 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.828 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:29.838 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:29.838 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:29.838 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:29.968 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:29.978 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:29.978 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:29.998 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:29.998 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.008 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.008 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.008 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:30.128 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:30.138 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:30.148 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:30.168 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:30.168 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.178 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.178 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.178 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:30.318 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:30.318 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:30.318 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:30.359 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:30.359 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.369 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.369 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.369 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:30.499 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:30.499 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:30.499 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:30.539 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:30.549 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.559 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.559 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.559 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:30.669 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:30.689 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:30.689 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:30.739 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:30.739 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.749 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.749 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.749 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:30.859 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:30.879 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:30.879 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:30.919 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:30.919 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:30.929 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:30.929 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:30.929 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.049 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.059 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.059 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.099 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.099 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.109 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.109 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.109 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.249 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.249 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.249 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.259 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.259 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.269 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.269 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.269 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.400 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.410 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.410 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.450 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.450 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.460 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.460 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.460 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.590 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.590 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.590 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.630 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.630 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.650 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.650 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.650 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.770 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.780 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.790 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:31.830 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:31.830 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:31.840 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:31.840 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:31.840 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:31.960 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:31.970 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:31.970 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:32.020 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:32.020 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:32.030 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:32.030 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:32.030 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:32.140 I/libframegrabber(11612): ---sws_scale ED
