--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:31:16.254 I/SimpleVideoView(11718): surfaceCreated
12-15 11:31:16.254 I/SimpleVideoView(11718): surfaceChanged 480:421:4
12-15 11:31:17.725 I/libframegrabber(11718): frame display interval: 40 ms
12-15 11:31:17.735 I/SimpleVideoView(11718): 0:75:2.6666667:480:256
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.755 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.765 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.775 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.775 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.775 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.775 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.775 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.775 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:17.875 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:17.875 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:17.885 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.885 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.885 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:17.885 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:17.885 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.015 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.015 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.025 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.025 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.025 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.046 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.046 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.046 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.146 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.146 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.146 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.146 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.186 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.186 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.186 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.186 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.326 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.326 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.326 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.346 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.356 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.366 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.366 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.366 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.496 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.496 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.496 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.516 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.516 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.536 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.536 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.536 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.656 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.656 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.666 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.686 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.686 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.696 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.696 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.696 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.826 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.826 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.826 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:18.856 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:18.856 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:18.866 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:18.866 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:18.866 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:18.976 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:18.996 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:18.996 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:19.036 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:19.046 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:19.046 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:19.046 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:19.046 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:19.167 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:19.177 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:19.177 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:19.227 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:19.227 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:19.257 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:19.257 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:19.257 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:19.397 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:19.397 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:19.397 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:19.467 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:19.467 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:19.477 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:19.477 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:19.477 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:19.597 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:19.627 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:19.627 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:19.677 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:19.687 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:19.697 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:19.697 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:19.697 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:19.847 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:19.847 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:19.847 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:19.897 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:19.897 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:19.907 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:19.907 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:19.907 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:20.047 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:20.057 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:20.057 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:20.057 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:20.067 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:20.077 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:20.077 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:20.077 I/libframegrabber(11718): ---avcodec_decode_video2 ST
