--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:38:34.241 I/SimpleVideoView(11862): surfaceCreated
12-15 11:38:34.241 I/SimpleVideoView(11862): surfaceChanged 480:421:4
12-15 11:38:35.592 I/libframegrabber(11862): frame display interval: 40 ms
12-15 11:38:35.592 I/SimpleVideoView(11862): 0:75:2.6666667:480:256
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.612 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.622 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.632 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.632 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.632 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.632 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:35.743 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:35.743 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:35.753 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.753 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.753 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.753 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.753 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:35.883 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:35.883 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:35.893 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:35.893 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:35.893 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:35.913 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:35.913 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:35.913 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:36.013 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:36.013 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:36.013 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:36.013 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:36.053 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:36.053 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:36.063 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:36.063 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:36.193 I/libframegrabber(11862): ---sws_scale ED
