--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:44:49.838 I/SimpleVideoView(11862): surfaceDestroyed
12-15 11:45:06.944 I/SimpleVideoView(11913): surfaceCreated
12-15 11:45:06.944 I/SimpleVideoView(11913): surfaceChanged 480:421:4
12-15 11:45:08.376 I/libframegrabber(11913): frame display interval: 40 ms
12-15 11:45:08.386 I/SimpleVideoView(11913): 0:75:2.6666667:480:256
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:08.406 I/libframegrabber(11913): ---av_read_frame ST
