--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:51:45.393 I/SimpleVideoView(11974): surfaceCreated
12-15 11:51:45.393 I/SimpleVideoView(11974): surfaceChanged 480:421:4
12-15 11:51:46.794 I/libframegrabber(11974): frame display interval: 40 ms
12-15 11:51:46.794 I/SimpleVideoView(11974): 0:75:2.6666667:480:256
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.814 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.824 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:46.824 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:46.934 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:46.934 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:46.944 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:46.944 I/libframegrabber(11974): ---av_read_frame ED
