--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:57:44.673 I/SimpleVideoView(12034): surfaceCreated
12-15 11:57:44.673 I/SimpleVideoView(12034): surfaceChanged 480:421:4
12-15 11:57:45.925 I/libframegrabber(12034): frame display interval: 40 ms
12-15 11:57:45.925 I/SimpleVideoView(12034): 0:75:2.6666667:480:256
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:45.955 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:45.955 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.065 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.065 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.085 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.085 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.085 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.085 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.085 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.185 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.195 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.195 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.215 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.215 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.225 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.225 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.225 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.315 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.315 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.315 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.315 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.335 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.335 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.345 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.345 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.475 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.475 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.485 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.505 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.505 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.515 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.515 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.515 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.625 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.635 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.635 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.655 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.655 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.675 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.675 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.675 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.786 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.786 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.786 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.806 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.806 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.826 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.826 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.826 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.936 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.936 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.936 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.966 I/libframegrabber(12034): ---avcodec_decode_video2 ED
